Bold Summand,Fermat Summand,m,Structure
,1+2+16 ,"983,055","Z2 x Z4 x Z65,536 "
0,1+2+16,"1,966,110","Z2 x Z4 x Z65,536 "
1,2+16,"1,310,740","Z2 x Z4 x Z65,536 "
2,1+16,"1,572,888","(Z2)^3 x Z65,536"
3,16,"1,048,592","Z2 x Z4 x Z65,536 "
4,1+2+4+8,"2,097,120",(Z2)^2 x Z4 x Z8 x Z16 x Z256 
5,2+4+8,"1,398,080",Z2 x Z4 x (Z16)^2 x Z256 
6,1+4+8 ,"1,677,696",(Z2)^2 x Z16 x Z32 x Z256 
7,4+8,"1,118,464",Z2 x Z16 x Z64 x Z256 
8,1+2+8,"1,973,760",(Z2)^2 x Z4 x Z128 x Z256 
9,2+8,"1,315,840",Z2 x Z4 x (Z256)^2 
10,1+8,"1,579,008",(Z2)^2 x Z256 x Z512 
11,8,"1,052,672",Z2 x Z256 x Z1024
12,1+2+4 ,"2,088,960",(Z2)^2 x Z4 x Z16 x Z2048
13,2+4,"1,392,640",Z2 x Z4 x Z16 x Z4096
14,1+4,"1,671,168",(Z2)^2 x Z16 x Z8192
15,4,"1,114,112","Z2 x Z16 x Z16,384"
16,1+2,"1,966,080","(Z2)^2 x Z4 x Z32,768"
17,2,"1,310,720","Z2 x Z4 x Z65,536 "
18,1,"1,572,864","(Z2)^2 x Z131,072"
19,,"1,048,576","Z2 x Z262,144 "